cve_id,published_date,last_modified_date,description_en,source_flags,cvss_v31_base_score,cvss_v31_severity,cvss_v31_vector,cvss_v4_base_score,cvss_v4_severity,cvss_v4_vector,cwe_list,product_list
CVE-2020-15573,2020-07-07 14:15:11.787,2024-11-21 05:05:46.343,"SolarWinds Serv-U File Server before 15.2.1 has a ""Cross-script vulnerability,"" aka Case Numbers 00041778 and 00306421.","nvd,v5",6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],['serv-u' 'solarwinds_serv_u']
CVE-2020-15576,2020-07-07 14:15:11.990,2024-11-21 05:05:46.787,SolarWinds Serv-U File Server before 15.2.1 allows information disclosure via an HTTP response.,"nvd,v5",7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['serv-u' 'solarwinds_serv_u']
CVE-2020-22428,2021-05-05 03:15:07.187,2024-11-21 05:13:16.450,SolarWinds Serv-U before 15.1.6 Hotfix 3 is affected by Cross Site Scripting (XSS) via a directory name (entered by an admin) containing a JavaScript payload.,"nvd,v5",4.8,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79' 'CWE-79' 'CWE-79'],"['serv-u_ftp_server' 'serv-u_mft_server' 'solarwinds_serv_u_ftp_server'
 'solarwinds_serv_u_mft_server']"
CVE-2021-25276,2021-02-03 17:15:16.637,2024-11-21 05:54:39.877,"In SolarWinds Serv-U before 15.2.2 Hotfix 1, there is a directory containing user profile files (that include users' password hashes) that is world readable and writable. An unprivileged Windows user (having access to the server's filesystem) can add an FTP user by copying a valid profile file to this directory. For example, if this profile sets up a user with a C:\ home directory, then the attacker obtains access to read or replace arbitrary files with LocalSystem privileges.","nvd,v5",7.1,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,,,['CWE-732' 'CWE-732' 'CWE-732'],['serv-u' 'serv-u' 'solarwinds_serv_u']
CVE-2021-32604,2021-05-11 23:15:08.940,2024-11-21 06:07:21.620,"Share/IncomingWizard.htm in SolarWinds Serv-U before 15.2.3 mishandles the user-supplied SenderEmail parameter, aka ""Share URL XSS.""","nvd,v5",5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],['serv-u' 'solarwinds_serv_u']
CVE-2021-35219,2021-08-31 12:15:07.260,2024-11-21 06:12:05.170,ExportToPdfCmd Arbitrary File Read Information Disclosure Vulnerability using ImportAlert function within the Alerts Settings page.,"nvd,v5",6.0,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['orion_platform' 'solarwinds_orion_platfor']
CVE-2021-35230,2021-10-22 12:15:07.973,2024-11-21 06:12:06.577,"As a result of an unquoted service path vulnerability present in the Kiwi CatTools Installation Wizard, a local attacker could gain escalated privileges by inserting an executable into the path of the affected service or uninstall entry.","nvd,v5",6.7,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-22' 'CWE-22'],['kiwi_cattools' 'solarwinds_kiwi_cattools']
CVE-2021-35231,2021-10-25 13:15:07.893,2024-11-21 06:12:06.697,"As a result of an unquoted service path vulnerability present in the Kiwi Syslog Server Installation Wizard, a local attacker could gain escalated privileges by inserting an executable into the path of the affected service or uninstall entry. Example vulnerable path: ""Computer\HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Kiwi Syslog Server\Parameters\Application"".","nvd,v5",6.7,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-428' 'CWE-428'],['kiwi_syslog_server' 'solarwinds_kiwi_syslog_server']
CVE-2021-35234,2021-12-20 21:15:08.057,2024-11-21 06:12:07.083,Numerous exposed dangerous functions within Orion Core has allows for read-only SQL injection leading to privileged escalation. An attacker with low-user privileges may steal password hashes and password salt information.,"nvd,v5",8.0,HIGH,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,,,,['CWE-89' 'CWE-89' 'CWE-89' 'CWE-89' 'CWE-89'],"['orion_platform' 'orion_platform' 'orion_platform' 'orion_platform'
 'solarwinds_orion_platfor']"
CVE-2021-35235,2021-10-27 01:15:07.463,2024-11-21 06:12:07.253,"The ASP.NET debug feature is enabled by default in Kiwi Syslog Server 9.7.2 and previous versions. ASP.NET allows remote debugging of web applications, if configured to do so. Debug mode causes ASP.NET to compile applications with extra information. The information enables a debugger to closely monitor and control the execution of an application. If an attacker could successfully start a remote debugging session, this is likely to disclose sensitive information about the web application and supporting infrastructure that may be valuable in targeting SWI with malicious intent.","nvd,v5",5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,,,['CWE-11' 'CWE-11' 'NVD-CWE-noinfo' 'NVD-CWE-noinfo'],"['kiwi_syslog_server' 'solarwinds_kiwi_syslog_server' 'kiwi_syslog_server'
 'solarwinds_kiwi_syslog_server']"
CVE-2021-35239,2021-08-31 16:15:07.807,2024-11-21 06:12:07.843,A security researcher found a user with Orion map manage rights could store XSS through via text box hyperlink.,"nvd,v5",7.5,HIGH,CVSS:3.1/AV:A/AC:L/PR:L/UI:R/S:C/C:H/I:L/A:L,,,,['CWE-79' 'CWE-79' 'CWE-79'],['orion_platform' 'orion_platform' 'solarwinds_orion_platfor']
CVE-2022-38110,2023-01-20 18:15:10.190,2024-11-21 07:15:48.767,"In Database Performance Analyzer (DPA) 2022.4 and older releases, certain URL vectors are susceptible to authenticated reflected cross-site scripting.

","nvd,v5",5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],"['database_performance_analyzer'
 'solarwinds_database_performance_analyzer']"
CVE-2022-47504,2023-02-15 19:15:11.963,2024-11-21 07:32:06.043,"SolarWinds Platform was susceptible to the Deserialization of Untrusted Data. This vulnerability allows a remote adversary with Orion admin-level account access to SolarWinds Web Console to execute arbitrary commands.

","nvd,v5",7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502'],['orion_platform' 'solarwinds_orion_platfor']
CVE-2023-33225,2023-07-26 14:15:10.417,2024-11-21 08:05:10.647,The SolarWinds Platform was susceptible to the Incorrect Comparison Vulnerability. This vulnerability allows users with administrative access to SolarWinds Web Console to execute arbitrary commands with SYSTEM privileges.,"nvd,v5",7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-697' 'CWE-697'],['solarwinds_platform' 'solarwinds_solarwinds_platfor']
CVE-2023-33228,2023-11-01 16:15:08.413,2024-11-21 08:05:11.517,The SolarWinds Network Configuration Manager was susceptible to the Exposure of Sensitive Information Vulnerability. This vulnerability allows users with administrative access to SolarWinds Web Console to obtain sensitive information.,"nvd,v5",4.5,MEDIUM,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,,,,['CWE-311' 'CWE-311'],"['network_configuration_manager'
 'solarwinds_network_configuration_manager']"
CVE-2023-35180,2023-10-19 15:15:08.823,2024-11-21 08:08:06.487,The SolarWinds Access Rights Manager was susceptible to Remote Code Execution Vulnerability. This vulnerability allows authenticated users to abuse SolarWinds ARM API.,"nvd,v5",8.0,HIGH,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502'],['access_rights_manager' 'solarwinds_access_rights_manager']
CVE-2023-35185,2023-10-19 15:15:09.330,2025-02-26 17:50:33.030,The SolarWinds Access Rights Manager was susceptible to a Directory Traversal Remote Code Vulnerability using SYSTEM privileges. ,"nvd,v5",6.8,MEDIUM,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-22' 'CWE-22'],['access_rights_manager' 'solarwinds_access_rights_manager']
CVE-2023-35186,2023-10-19 15:15:09.410,2024-11-21 08:08:07.257,The SolarWinds Access Rights Manager was susceptible to Remote Code Execution Vulnerability. This vulnerability allows an authenticated user to abuse SolarWinds service resulting in remote code execution.,"nvd,v5",8.0,HIGH,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502'],['access_rights_manager' 'solarwinds_access_rights_manager']
CVE-2023-40060,2023-09-07 16:15:08.227,2024-11-21 08:18:37.563,"A vulnerability has been identified within Serv-U 15.4 and 15.4 Hotfix 1 that, if exploited, allows an actor to bypass multi-factor/two-factor authentication. The actor must have administrator-level access to Serv-U to perform this action. 
15.4.  SolarWinds found that the issue was not completely fixed in 15.4 Hotfix 1. ","nvd,v5",7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,,,"['CWE-284' 'CWE-284' 'CWE-284' 'NVD-CWE-noinfo' 'NVD-CWE-noinfo'
 'NVD-CWE-noinfo']","['serv-u' 'serv-u' 'solarwinds_serv_u' 'serv-u' 'serv-u'
 'solarwinds_serv_u']"
CVE-2023-40062,2023-11-01 16:15:08.697,2024-11-21 08:18:37.847,"SolarWinds Platform Incomplete List of Disallowed Inputs Remote Code Execution Vulnerability. If executed, this vulnerability would allow a low-privileged user to execute commands with SYSTEM privileges.","nvd,v5",8.0,HIGH,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-20' 'CWE-20'],['solarwinds_platform' 'solarwinds_solarwinds_platfor']
CVE-2024-23478,2024-02-15 21:15:09.867,2024-11-21 08:57:47.847,"SolarWinds Access Rights Manager (ARM) was found to be susceptible to a Remote Code Execution Vulnerability. If exploited, this vulnerability allows an authenticated user to abuse a SolarWinds service, resulting in remote code execution.
","nvd,v5",8.0,HIGH,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502'],['access_rights_manager' 'solarwinds_access_rights_manager']
CVE-2024-28075,2024-05-14 15:13:53.397,2025-02-26 18:44:52.290,"The SolarWinds Access Rights Manager was susceptible to Remote Code Execution Vulnerability. This vulnerability allows an authenticated user to abuse SolarWinds service resulting in remote code execution. 

We thank Trend Micro Zero Day Initiative (ZDI) for its ongoing partnership in coordinating with SolarWinds on responsible disclosure of this and other potential vulnerabilities.   ","nvd,v5",9.0,CRITICAL,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502'],['access_rights_manager' 'solarwinds_access_rights_manager']
CVE-2024-28986,2024-08-13 23:15:16.627,2025-10-27 17:01:47.020,"SolarWinds Web Help Desk was found to be susceptible to a Java Deserialization Remote Code Execution vulnerability that, if exploited, would allow an attacker to run commands on the host machine. 

While it was reported as an unauthenticated vulnerability, SolarWinds has been unable to reproduce it without authentication after thorough testing.  

However, out of an abundance of caution, we recommend all Web Help Desk customers apply the patch, which is now available.","nvd,v5",9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-502' 'CWE-502' 'CWE-502'],['web_help_desk' 'web_help_desk' 'solarwinds_web_help_desk']
CVE-2024-45714,2024-10-16 08:15:06.897,2024-10-30 20:33:59.393,Application is vulnerable to Cross Site Scripting (XSS) an authenticated attacker with users’ permissions can modify a variable with a payload.,"nvd,v5",4.8,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:N/A:N,,,,['CWE-79' 'CWE-79'],['serv-u' 'solarwinds_serv_u']
CVE-2024-52606,2025-02-11 08:15:31.133,2025-02-25 17:35:43.813,SolarWinds Platform is affected by server-side request forgery vulnerability. Proper input sanitation was not applied allowing for the possibility of a malicious web request.,"nvd,v5",3.5,LOW,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,,,,['CWE-918' 'CWE-918'],['solarwinds_platform' 'solarwinds_solarwinds_platfor']
CVE-2025-26394,2025-06-10 15:15:23.543,2025-11-12 19:17:42.920,"SolarWinds Observability Self-Hosted

 is susceptible to an open redirection vulnerability. The URL is not properly sanitized, and an attacker could manipulate the string to redirect a user to a malicious site. The attack complexity is high, and authentication is required.","nvd,v5",4.8,MEDIUM,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,,,,['CWE-601' 'CWE-601'],['observability_self-hosted' 'solarwinds_observability_self_hosted']
CVE-2025-26400,2025-07-29 08:15:26.053,2025-11-17 16:11:59.000,"SolarWinds Web Help Desk was reported to be affected by an XML External Entity Injection (XXE) vulnerability that could lead to information disclosure. A valid, low-privilege access is required unless the attacker had access to the local server to modify configuration files.","nvd,v5",5.3,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,,,,['CWE-611' 'CWE-611'],['web_help_desk' 'solarwinds_web_help_desk']
CVE-2001-1463,2001-11-19 05:00:00.000,2025-04-03 01:03:51.193,"The remote administration client for RhinoSoft Serv-U 3.0 sends the user password in plaintext even when S/KEY One-Time Password (OTP) authentication is enabled, which allows remote attackers to sniff passwords.","nvd,v5",,,,,,,['CWE-310' 'CWE-310' 'CWE-310'],['serv-u_file_server' 'serv-u_file_server' 'solarwinds_serv_u_file_server']
CVE-2004-1852,2004-03-23 05:00:00.000,2025-04-03 01:03:51.193,"DameWare Mini Remote Control 3.x before 3.74 and 4.x before 4.2 transmits the Blowfish encryption key in plaintext, which allows remote attackers to gain sensitive information.","nvd,v5",,,,,,,['CWE-319' 'CWE-319'],['dameware_mini_remote_control' 'solarwinds_dameware_mini_remote_contro']
CVE-2004-1992,2004-04-20 04:00:00.000,2025-04-03 01:03:51.193,"Buffer overflow in Serv-U FTP server before 5.0.0.6 allows remote attackers to cause a denial of service (crash) via a long -l parameter, which triggers an out-of-bounds read.","nvd,v5",,,,,,,"['CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119']","['serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'solarwinds_serv_u_file_server']"
CVE-2004-2111,2004-12-31 05:00:00.000,2025-04-03 01:03:51.193,Stack-based buffer overflow in the site chmod command in Serv-U FTP Server before 4.2 allows remote attackers to execute arbitrary code via a long filename.,"nvd,v5",,,,,,,"['CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119' 'CWE-119']","['serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'solarwinds_serv_u_file_server']"
CVE-2009-0967,2009-03-19 10:30:00.530,2025-04-09 00:30:58.490,The FTP server in Serv-U 7.0.0.1 through 7.4.0.1 allows remote authenticated users to cause a denial of service (service hang) via a large number of SMNT commands without an argument.,"nvd,v5",,,,,,,"['CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399'
 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399' 'CWE-399'
 'CWE-399']","['serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'solarwinds_serv_u_file_server']"
CVE-2009-4006,2009-11-20 11:30:00.297,2025-04-09 00:30:58.490,"Stack-based buffer overflow in the TEA decoding algorithm in RhinoSoft Serv-U FTP server 7.0.0.1, 9.0.0.5, and other versions before 9.1.0.0 allows remote attackers to execute arbitrary code via a long hexadecimal string.","nvd,v5",,,,,,,"['CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119' 'CWE-119'
 'CWE-119']","['serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'solarwinds_serv_u_file_server']"
CVE-2012-4939,2012-10-31 19:55:00.950,2025-04-11 00:51:21.963,"Cross-site scripting (XSS) vulnerability in IPAMSummaryView.aspx in the IPAM web interface before 3.0-HotFix1 in SolarWinds Orion Network Performance Monitor might allow remote attackers to inject arbitrary web script or HTML via the ""Search for an IP address"" field.","nvd,v5",,,,,,,"['CWE-79' 'CWE-79' 'CWE-79' 'CWE-79' 'CWE-79' 'CWE-79' 'CWE-79' 'CWE-79'
 'CWE-79' 'CWE-79' 'CWE-79' 'CWE-79']","['ip_address_manager_web_interface' 'orion_network_performance_monitor'
 'orion_network_performance_monitor' 'orion_network_performance_monitor'
 'orion_network_performance_monitor' 'orion_network_performance_monitor'
 'orion_network_performance_monitor' 'orion_network_performance_monitor'
 'orion_network_performance_monitor' 'orion_network_performance_monitor'
 'solarwinds_ip_address_manager_web_interface'
 'solarwinds_orion_network_performance_monitor']"
CVE-2015-5371,2015-07-06 14:59:06.157,2025-04-12 10:46:40.837,The AuthenticationFilter class in SolarWinds Storage Manager allows remote attackers to upload and execute arbitrary scripts via unspecified vectors.,"nvd,v5",,,,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['storage_manager' 'solarwinds_storage_manager']
CVE-2017-5199,2017-03-24 07:59:00.203,2025-04-20 01:37:25.860,The editbanner feature in SolarWinds LEM (aka SIEM) through 6.3.1 allows remote authenticated users to execute arbitrary code by editing /usr/local/contego/scripts/mgrconfig.pl.,"nvd,v5",,,,,,,['CWE-732' 'CWE-732'],['log_and_event_manager' 'solarwinds_log_and_event_manager']
CVE-2017-9538,2017-10-03 01:29:03.310,2025-04-20 01:37:25.860,"The 'Upload logo from external path' function of SolarWinds Network Performance Monitor version 12.0.15300.90 allows remote attackers to cause a denial of service (permanent display of a ""Cannot exit above the top directory"" error message throughout the entire web application) via a "".."" in the path field. In other words, the denial of service is caused by an incorrect implementation of a directory-traversal protection mechanism.","nvd,v5",,,,,,,['CWE-20' 'CWE-20'],['network_performance_monitor' 'solarwinds_network_performance_monitor']
CVE-2018-15906,2019-03-21 16:00:21.467,2024-11-21 03:51:41.380,SolarWinds Serv-U FTP Server 15.1.6 allows remote authenticated users to execute arbitrary code by leveraging the Import feature and modifying a CSV file.,"nvd,v5",,,,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['serv-u_ftp_server' 'solarwinds_serv_u_ftp_server']
CVE-2018-19386,2019-08-14 20:15:11.463,2024-11-21 03:57:49.973,"SolarWinds Database Performance Analyzer 11.1.457 contains an instance of Reflected XSS in its idcStateError component, where the page parameter is reflected into the HREF of the 'Try Again' Button on the page, aka a /iwc/idcStateError.iwc?page= URI.","nvd,v5",,,,,,,['CWE-79' 'CWE-79'],"['database_performance_analyzer'
 'solarwinds_database_performance_analyzer']"
CVE-2019-12864,2020-05-04 14:15:12.763,2024-11-21 04:23:43.863,"SolarWinds Orion Platform 2018.4 HF3 (NPM 12.4, NetPath 1.1.4) is vulnerable to Information Leakage, because of improper error handling with stack traces, as demonstrated by discovering a full pathname upon a 500 Internal Server Error via the api2/swis/query?lang=en-us&swAlertOnError=false query parameter.","nvd,v5",5.5,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,,,,['CWE-209' 'CWE-209' 'CWE-209' 'CWE-209' 'CWE-209' 'CWE-209'],"['netpath' 'network_performance_monitor' 'orion_platform'
 'solarwinds_orion_platfor' 'solarwinds_netpa'
 'solarwinds_network_performance_monitor']"
CVE-2019-16956,2021-01-04 08:15:13.160,2024-11-21 04:31:24.877,SolarWinds Web Help Desk 12.7.0 allows XSS via the Request Type parameter of a ticket.,"nvd,v5",5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],['web_help_desk' 'solarwinds_web_help_desk']
CVE-2019-16961,2021-01-15 14:15:14.537,2024-11-21 04:31:25.603,SolarWinds Web Help Desk 12.7.0 allows XSS via a Schedule Name.,"nvd,v5",5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],['web_help_desk' 'solarwinds_web_help_desk']
CVE-2020-15909,2020-10-19 13:15:13.267,2024-11-21 05:06:25.943,"SolarWinds N-central through 2020.1 allows session hijacking and requires user interaction or physical access. The N-Central JSESSIONID cookie attribute is not checked against multiple sources such as sourceip, MFA claim, etc. as long as the victim stays logged in within N-Central. To take advantage of this, cookie could be stolen and the JSESSIONID can be captured. On its own this is not a surprising result; low security tools allow the cookie to roam from machine to machine. The JSESSION cookie can then be used on the attackers’ workstation by browsing to the victim’s NCentral server URL and replacing the JSESSIONID attribute value by the captured value. Expected behavior would be to check this against a second source and enforce at least a reauthentication or multi factor request as N-Central is a highly privileged service.","nvd,v5",8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,,,['CWE-384' 'CWE-384'],['n-central' 'solarwinds_n_centra']
CVE-2020-25621,2020-12-16 15:15:12.600,2024-11-21 05:18:15.520,An issue was discovered in SolarWinds N-Central 12.3.0.670. The local database does not require authentication: security is only based on ability to access a network interface. The database has keys and passwords.,"nvd,v5",8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-306' 'CWE-306'],['n-central' 'solarwinds_n_centra']
